measurementId,elapsedSeconds,outsideTemperatureC,cabinSensorMedianC
53,719.446579554,42.866959188,49.494551282
54,733.282090699,42.716959188,49.494551282
55,747.117601845,41.856959188,49.494551282
56,760.953112990,41.716959188,49.494551282
57,774.788624135,41.586959188,49.494551282
58,788.624135281,41.586959188,49.554551282
59,802.459646426,41.586959188,49.554551282
60,816.295157571,41.586959188,49.554551282
61,830.130668716,41.376959188,49.554551282
62,843.966179862,40.866959188,49.554551282
63,857.801691007,40.766959188,49.624551282
64,871.637202152,40.616959188,49.624551282
65,885.472713297,40.616959188,49.624551282
66,899.308224443,40.586959188,49.684551282
67,913.143735588,40.376959188,49.624551282
68,926.979246733,40.066959188,49.684551282
69,940.814757879,40.066959188,49.684551282
70,954.650269024,40.066959188,49.684551282
71,968.485780169,40.066959188,49.684551282
72,982.321291314,39.916959188,49.684551282
73,996.156802460,39.816959188,49.684551282
74,1009.992313605,39.716959188,49.684551282
75,1023.827824750,39.716959188,49.744551282
76,1037.663335895,39.716959188,49.744551282
77,1051.498847041,39.716959188,49.684551282
78,1065.334358186,39.716959188,49.744551282
79,1079.169869331,39.716959188,49.744551282
80,1093.005380477,39.666959188,49.744551282
81,1106.840891622,39.616959188,49.804551282
82,1120.676402767,39.566959188,49.744551282
83,1134.511913912,39.586959188,49.804551282
84,1148.347425058,39.586959188,49.744551282
85,1162.182936203,39.546959188,49.804551282
86,1176.018447348,39.546959188,49.804551282
87,1189.853958493,39.546959188,49.804551282
88,1203.689469639,39.546959188,49.804551282
89,1217.524980784,39.486959188,49.804551282
90,1231.360491929,39.416959188,49.804551282
91,1245.196003075,39.396959188,49.804551282
92,1259.031514220,39.396959188,49.804551282
93,1272.867025365,39.396959188,49.804551282
94,1286.702536510,39.396959188,49.804551282
95,1300.538047656,39.396959188,49.874551282
96,1314.373558801,39.396959188,49.804551282
97,1328.209069946,39.396959188,49.804551282
98,1342.044581091,39.376959188,49.804551282
99,1355.880092237,39.296959188,49.874551282
100,1369.715603382,39.266959188,49.804551282
101,1383.551114527,39.266959188,49.874551282
102,1397.386625673,39.266959188,49.874551282
103,1411.222136818,39.266959188,49.874551282
104,1425.057647963,39.266959188,49.804551282
105,1438.893159108,39.266959188,49.804551282
106,1452.728670254,39.266959188,49.804551282
107,1466.564181399,39.216959188,49.804551282
108,1480.399692544,39.196959188,49.804551282
109,1494.235203689,39.186959188,49.804551282
110,1508.070714835,39.166959188,49.804551282
111,1521.906225980,39.136959188,49.804551282
112,1535.741737125,39.136959188,49.804551282
113,1549.577248271,39.136959188,49.804551282
114,1563.412759416,39.116959188,49.744551282
115,1577.248270561,39.106959188,49.744551282
116,1591.083781706,39.086959188,49.804551282
117,1604.919292852,39.086959188,49.804551282
118,1618.754803997,39.086959188,49.744551282
119,1632.590315142,39.086959188,49.804551282
120,1646.425826287,39.086959188,49.744551282
121,1660.261337433,39.096959188,49.744551282
122,1674.096848578,39.076959188,49.684551282
123,1687.932359723,39.086959188,49.744551282
124,1701.767870869,39.066959188,49.744551282
125,1715.603382014,39.066959188,49.744551282
126,1729.438893159,39.066959188,49.744551282
127,1743.274404304,39.066959188,49.744551282
128,1757.109915450,39.066959188,49.684551282
129,1770.945426595,39.066959188,49.744551282
130,1784.780937740,39.066959188,49.684551282
131,1798.616448885,39.066959188,49.684551282
132,1812.451960031,39.066959188,49.684551282
133,1826.287471176,39.026959188,49.684551282
134,1840.122982321,39.026959188,49.684551282
135,1853.958493467,39.016959188,49.684551282
136,1867.794004612,38.966959188,49.684551282
137,1881.629515757,38.966959188,49.624551282
138,1895.465026902,38.966959188,49.684551282
139,1909.300538048,38.966959188,49.624551282
140,1923.136049193,38.966959188,49.624551282
141,1936.971560338,38.966959188,49.624551282
142,1950.807071483,38.866959188,49.624551282
143,1964.642582629,38.766959188,49.624551282
144,1978.478093774,38.716959188,49.624551282
145,1992.313604919,38.596959188,49.554551282
146,2006.149116065,38.416959188,49.554551282
147,2019.984627210,38.406959188,49.554551282
148,2033.820138355,38.266959188,49.554551282
149,2047.655649500,37.716959188,49.554551282
150,2061.491160646,37.396959188,49.554551282
151,2075.326671791,37.106959188,49.494551282
152,2089.162182936,36.866959188,49.494551282
153,2102.997694081,36.616959188,49.494551282
154,2116.833205227,36.216959188,49.494551282
155,2130.668716372,36.076959188,49.494551282
156,2144.504227517,35.716959188,49.494551282
157,2158.339738663,35.386959188,49.434551282
158,2172.175249808,35.116959188,49.434551282
159,2186.010760953,34.966959188,49.494551282
160,2199.846272098,34.916959188,49.434551282
161,2213.681783244,34.716959188,49.434551282
162,2227.517294389,34.576959188,49.434551282
163,2241.352805534,34.266959188,49.374551282
164,2255.188316679,34.106959188,49.304551282
165,2269.023827825,33.966959188,49.374551282
166,2282.859338970,33.846959188,49.374551282
167,2296.694850115,33.696959188,49.304551282
168,2310.530361261,33.606959188,49.304551282
169,2324.365872406,33.536959188,49.304551282
170,2338.201383551,33.406959188,49.244551282
171,2352.036894696,33.376959188,49.244551282
172,2365.872405842,33.266959188,49.244551282
173,2379.707916987,33.176959188,49.127420057
174,2393.543428132,33.046959188,49.127420057
175,2407.378939277,32.966959188,49.007420057
176,2421.214450423,32.786959188,48.877420057
177,2435.049961568,32.786959188,48.877420057
178,2448.885472713,32.786959188,48.757420057
179,2462.720983859,32.766959188,48.627420057
180,2476.556495004,32.716959188,48.567420057
181,2490.392006149,32.716959188,48.437420057
182,2504.227517294,32.656959188,48.437420057
183,2518.063028440,32.616959188,48.317420057
184,2531.898539585,32.536959188,48.257420057
185,2545.734050730,32.536959188,48.127420057
186,2559.569561875,32.536959188,48.067420057
187,2573.405073021,32.536959188,48.007420057
188,2587.240584166,32.516959188,47.937420057
